estID,est_name,full_ecosystem_type_name,efz_ha,Cumulative Pressure Level,pressure_2025_flow_modification,pressure_artificial_breaching,pressure_2018_Flow_modification,pressure_2025_pollution,pressure_2018_Pollution,pressure_2025_habitat_loss,pressure_2025_fishing_effort_DEFF,pressure_2018_fishing_effort_DEFF,pressure_2011_fishing_effort_DEFF,pressure_invasive_alien_plants,Pressure_alien_fish,OUTLET_IDw,NAME,LONGdd,LATdd,EcoType_na,RLE_NBA18,PL_NBA18,PES2018,type,zone,extent,RLE,EPL,RLE_EPL,realm,protection_level,threat_status
52,Knysna,2 Warm Temperate - Estuarine Bay,3010.6,Low,Low,,Low,High,High,Low,High,High,High,,High,88,Knysna,23.061453,-34.082706,Warm Temperate Estuarine Bay,Vulnerable,Moderately,B/C,Warm Temperate Estuarine Bay,WTemp,30.1056471284,VU,MP,VU_MP,est,Moderately Protected,Vulnerable
53,Noetsie,2 Warm Temperate - Small Temporarily Closed,50.6,Low,Low,,Low,Low,Low,Low,Low,Low,Low,Medium,,89,Noetsie,23.12915397,-34.080302,Warm Temperate Small Temporarily Closed,Least Concern,Well,B,Warm Temperate Small Temporarily Closed,WTemp,16.1027211742,LC,MP,LC_MP,est,Moderately Protected,Least Concern
54,Piesang,2 Warm Temperate - Large Temporarily Closed,87.3,High,High,Very high,High,Medium,Medium,High,Low,Low,Low,High,,93,Piesang,23.37876197,-34.060465,Warm Temperate Large Temporarily Closed,Vulnerable,Moderately,D,Warm Temperate Large Temporarily Closed,WTemp,69.2596673221,VU,PP,VU_PP,est,Poorly Protected,Vulnerable
55,Keurbooms,2 Warm Temperate - Predominantly Open,1623.8,Low,Low,,Low,Low,Low,Low,Medium,Low,Low,Medium,High,94,Keurbooms,23.378187,-34.04984997,Warm Temperate Predominantly Open,Vulnerable,Poorly,A/B,Warm Temperate Predominantly Open,WTemp,176.692482939,VU,PP,VU_PP,est,Poorly Protected,Vulnerable
56,Matjies,2 Warm Temperate - Small Temporarily Closed,12.1,Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,95,Matjies,23.470182,-34.001965,Warm Temperate Small Temporarily Closed,Least Concern,Well,A/B,Warm Temperate Small Temporarily Closed,WTemp,16.1027211742,LC,MP,LC_MP,est,Moderately Protected,Least Concern
57,Sout (Oos),2 Warm Temperate - Predominantly Open,24.1,Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,97,Sout (Oos),23.536543,-33.98950194,Warm Temperate Predominantly Open,Vulnerable,Poorly,A,Warm Temperate Predominantly Open,WTemp,176.692482939,VU,PP,VU_PP,est,Poorly Protected,Vulnerable
58,Groot (Wes),2 Warm Temperate - Small Temporarily Closed,100,Low,Low,,Low,Low,Low,Low,Low,Low,Low,Medium,Low,98,Groot (Wes),23.56918,-33.98178083,Warm Temperate Small Temporarily Closed,Least Concern,Well,B,Warm Temperate Small Temporarily Closed,WTemp,16.1027211742,LC,MP,LC_MP,est,Moderately Protected,Least Concern
59,Bloukrans,2 Warm Temperate - Small Fluvially Dominated,15.3,Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,101,Bloukrans,23.647469,-33.97964472,Warm Temperate Small Fluvially Dominated,Least Concern,Well,A,Warm Temperate Small Fluvially Dominated,WTemp,1.22435829857,LC,WP,LC_WP,est,Well Protected,Least Concern
60,Lottering,2 Warm Temperate - Small Fluvially Dominated,11.2,Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,103,Lottering,23.73595,-33.99551,Warm Temperate Small Fluvially Dominated,Least Concern,Well,A,Warm Temperate Small Fluvially Dominated,WTemp,1.22435829857,LC,WP,LC_WP,est,Well Protected,Least Concern
61,Elandsbos,2 Warm Temperate - Small Fluvially Dominated,22.1,Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,104,Elandsbos,23.767942,-34.00351297,Warm Temperate Small Fluvially Dominated,Least Concern,Well,A,Warm Temperate Small Fluvially Dominated,WTemp,1.22435829857,LC,WP,LC_WP,est,Well Protected,Least Concern
