"","Estuary name","Estuary type","Estuary functional type","Protection level","Threat status","Condition","Extent (ha)"
"211","Mpahlanyana","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",24.1
"212","Mpahlane","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",35.2
"213","Mzamba","Subtropical Predominantly Open","Subtropical","Poorly Protected","Vulnerable","Near-natural",110.7
"214","Mtentwana","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Moderately modified",33.4
"215","uMthavuna","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Near-natural",160
"216","iSolwane","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",18.7
"217","iSandlu","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Moderately modified",32.4
"218","uMbhoyibhoyi","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",20.2
"219","uMuntongazi","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Moderately modified",11.5
"220","iKhandalendlovu","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",31.6
"221","iMpenjani","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",100.8
"222","uMhlangomkhulu (South) (Umhlangankulu)","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",45.5
"223","iKhaba","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Moderately modified",26.2
"224","iMbizana","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Near-natural",95.9
"225","iMvutshini","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Moderately modified",10.7
"226","iBilanhlonhlo","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Heavily modified",23.6
"227","uVuzana","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Moderately modified",9.8
"228","iKongeni","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Severely / critically modified ",44.8
"229","uVunguza","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Moderately modified",14.5
"230","oHlangeni","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",70.3
"231","iZotsha","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",104
"232","iBhobhoyi","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Moderately modified",47.9
