I_Rlm_P,I_EcTy1,mapcode,Shap_Ar,type,zone,extent,Threat status,Protection level,realm
Estuary,Cool Temperate Large Temporarily Closed,CT5,646.008732962,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,1691.23971675,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,253795.523365,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Arid Predominantly Closed,CT1,490143.467228,Cool Temperate Arid Predominantly Closed,Estuaries,14.4021165678708,Endangered,Poorly Protected,est
Estuary,Cool Temperate Small Temporarily Closed,CT9,41402.5882405,Cool Temperate Small Temporarily Closed,Estuaries,5.17640367488375,Vulnerable,Moderately Protected,est
Estuary,Cool Temperate Small Temporarily Closed,CT9,753.539518959,Cool Temperate Small Temporarily Closed,Estuaries,5.17640367488375,Vulnerable,Moderately Protected,est
Estuary,Cool Temperate Small Temporarily Closed,CT9,110320.558409,Cool Temperate Small Temporarily Closed,Estuaries,5.17640367488375,Vulnerable,Moderately Protected,est
Estuary,Cool Temperate Small Temporarily Closed,CT9,33166.9953086,Cool Temperate Small Temporarily Closed,Estuaries,5.17640367488375,Vulnerable,Moderately Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,294712.780902,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Estuarine Lake,CT3,17474482.6143,Cool Temperate Estuarine Lake,Estuaries,70.9307671719994,Endangered,Poorly Protected,est
Estuary,Cool Temperate Small Temporarily Closed,CT9,102888.932183,Cool Temperate Small Temporarily Closed,Estuaries,5.17640367488375,Vulnerable,Moderately Protected,est
Estuary,Cool Temperate Arid Predominantly Closed,CT1,376931.627583,Cool Temperate Arid Predominantly Closed,Estuaries,14.4021165678708,Endangered,Poorly Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,3136512.26262,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Small Temporarily Closed,CT9,68569.3711421,Cool Temperate Small Temporarily Closed,Estuaries,5.17640367488375,Vulnerable,Moderately Protected,est
Estuary,Cool Temperate Arid Predominantly Closed,CT1,268648.062763,Cool Temperate Arid Predominantly Closed,Estuaries,14.4021165678708,Endangered,Poorly Protected,est
Estuary,Cool Temperate Arid Predominantly Closed,CT1,1295.23556616,Cool Temperate Arid Predominantly Closed,Estuaries,14.4021165678708,Endangered,Poorly Protected,est
Estuary,Cool Temperate Arid Predominantly Closed,CT1,411674.857623,Cool Temperate Arid Predominantly Closed,Estuaries,14.4021165678708,Endangered,Poorly Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,127051.685152,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,15077.5729674,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,20309.1261727,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,17410.0093373,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,384.98707441,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,1725.92680555,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,193312.920709,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,5139.94490253,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,1335.01069441,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,295.058581177,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,6228.70016673,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,158.662550449,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,105.582342026,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,121.567112172,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,883.367031788,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,2690.79776901,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,575.557639253,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,6053.78959244,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,10002.3705809,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Estuarine Lagoon,CT2,152836.601331,Cool Temperate Estuarine Lagoon,Estuaries,60.0688314211718,Endangered,Moderately Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,4948.90860266,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,586.674842097,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,971.593372507,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
